,city,price,rating,store,title,ulasan
2298,Jakarta Timur,3.969.000,4.9,"
BinTanG cell
",SAMSUNG GALAXY A50 PRO,8
2299,Jakarta Timur,3.379.000,4.7,"
BinTanG cell
",VIVO V 15 RESMI,18
2300,Jakarta Timur,4.979.000,4.8,"
BinTanG cell
",SAMSUNG GALAXY A70,33
2301,Jakarta Timur,3.229.000,0,"
BinTanG cell
",Realme 3 pro 128GB,0
2302,Bekasi,1.079.000,4.9,"
Hayanis Shop Bekasi
",MEIZU M5 Note 32GB,15
2303,Kediri,9.985.000,0,"
HENRY CELL
",HUAWEI P30 PRO RAM 8GB INTERNA 256GB,0
2304,Jakarta Timur,2.209.000,0,"
BinTanG cell
",Vivo Y15 Ram 4 Rom 64GB,0
2305,Kediri,2.275.000,0,"
HENRY CELL
",VIVO Y15 RAM 4GB INTERNAL 64GB,0
2306,Jakarta Timur,3.198.000,0,"
BinTanG cell
",Vivo S1 Ram 4 Rom 128GB,0
2307,Jakarta Timur,2.498.000,5.0,"
BinTanG cell
",Vivo Y17 Mineral blue,1
2308,Kab. Cirebon,211.000,4.7,"
COMPLETE SELULAR OFFICIAL
",Nokia 105 Ds Neo,33
2309,Jakarta Timur,3.568.000,5.0,"
BinTanG cell
",OPPO K3 RESMI,3
2310,Depok,2.150.000,5.0,"
Tiophone Cell
",Realme 2 Pro 4GB 64GB,5
2311,Depok,3.850.000,0,"
Tiophone Cell
",Realme 5pro Ram 8GB 128GB,0
2312,Jakarta Timur,1.305.000,5.0,"
BinTanG cell
",Realme C2 Ram 2 Rom 32GB,1
2313,Kab. Cirebon,212.000,4.8,"
COMPLETE SELULAR OFFICIAL
",Nokia 106,4
2314,Jakarta Timur,2.769.000,0,"
BinTanG cell
",OPPO A5 2020 RAM 4 - ROM 128GB RESMI,0
2315,Jakarta Timur,3.689.000,0,"
BinTanG cell
",OPPO A9 2020 RAM 8-ROM 128GB RESMI,0
2316,Jakarta Timur,3.689.000,0,"
BinTanG cell
",OPPO A9 2020,0
2317,Jakarta Timur,2.769.000,0,"
BinTanG cell
",OPPO A5 2020,0
2318,Jakarta Timur,2.729.000,5.0,"
BinTanG cell
",REALME 5 PRO RAM 4-128GB RESMI,1
2319,Jakarta Timur,2.755.000,0,"
BinTanG cell
",Realme 3pro Ram 6-64GB Resmi,0
2320,Jakarta Timur,12.596.000,0,"
BinTanG cell
",SAMSUNG GALAXY NOTE 10,0
2321,Jakarta Timur,12.596.000,0,"
BinTanG cell
",SAMSUNG - GALAXY NOTE 10,0
2322,Ogan Komering Ulu Selatan,8.750.000,0,"
Gusti Ani
",samsung galaxy s10 plus fullset,0
2323,Jakarta Timur,3.765.000,0,"
BinTanG cell
",SAMSUNG GALAXY A50s,0
2324,Jakarta Timur,3.765.000,0,"
BinTanG cell
",SAMSUNG -GALAXY A50s,0
2325,Yogyakarta,6.300.000,0,"
Nita Nengsi
",Vivo Nex Dual Display,0
2326,Jakarta Timur,2.205.000,0,"
BinTanG cell
",OPPO A5 2020 RAM 3 ROM 64GB RESMI,0
2327,Jakarta Timur,2.205.000,0,"
BinTanG cell
",OPPO A5 2020 RAM 3GB RESMI,0
2328,Depok,4.150.000,4.9,"
Gesrek Cellular
",OPPO F11 Pro Garansi Resmi,52
2329,Kab. Bogor,2.500.000,0,"
JakartaRaya
",Oppo F7 Ram 4GB Internal 64GB,0
2330,Kediri,1.475.000,5.0,"
HENRY CELL
",SAMSUNG M10 RAM 2 INTERNAL 16GB SEIN,1
2331,Jakarta Pusat,5.400.000,0,"
Edwin Cahyadi
",iPhone 7 plus 128Gb zpa Gold,0
2332,Jakarta Pusat,5.900.000,5.0,"
ALFATH SHOP
",Iphone 7 128GB Black Gold Rose Red Garansi 1 Tahun,11
2333,Bekasi,2.799.000,0,"
TemanPonsel
",Oppo F11 4-128gb seken mulus resmi oppo,0
2334,Bekasi,2.599.000,0,"
TemanPonsel
",samsung galaxy a8 2018 dual sein - garansi,0
2335,Bekasi,3.099.000,0,"
TemanPonsel
",samsung galaxy a8 plus 2018 6 - 64 dual sim resmi,0
2336,Bekasi,7.749.000,0,"
TemanPonsel
",Samsung galaxy note 9 128gb dual sein,0
2337,Bekasi,8.425.000,0,"
TemanPonsel
",Samsung Galaxy s10 128 resmi sein likenew mantap,0
2338,Jakarta Timur,2.300.000,0,"
Name Cell
",Vivo Z1 Pro,0
2339,Batam,450.000,4.8,"
Star_cell
",Hp samsung lipat GT C3520 baru fullset murah,4
2340,Batam,330.000,4.9,"
Star_cell
",samsung lipat s3600,7
2341,Jakarta Barat,1.650.000,3.8,"
Fendi Kristianto
",Xiaomi - Redmi Note 3 Pro 2/16GB (Silver) ORIGINAL,4
2342,Kab. Bogor,11.000.000,5.0,"
New Com
",iphone x 256 grey,1
2343,Kebumen,700.000,0,"
Lukman Hakim
",Lenovo P70 nominus mulus kinclong.. kelengkpan cuma hp saja.. Ram 2gb internal 16gb.batre awet,0
2344,Pringsewu,850.000,0,"
dendy kurniawan
",XIAOMI REDMI 4 bukan redmi 5  redmi 5plus,0
2345,Bekasi,2.250.000,0,"
Abimanyu Ramadhan
",VIVO Y17 RAM 4 GB ROM 128 GB,0
2346,Kab. Cirebon,1.182.000,4.6,"
COMPLETE SELULAR OFFICIAL
",Xiaomi Redmi 6A,10
2347,Makassar,4.999.000,0,"
Eibuy Store
",Original VIVO V11 PRO 6GB RAM 64GB ROM - Garansi Resmi VIVO Indonesia,0
2348,Makassar,16.000.000,0,"
Eibuy Store
",JUAL MURAH Samsung Galaxy Note 9 RAM 8 GB ROM 512 GB SEIN - Midnight Black - Hitam,0
2349,Makassar,12.000.000,0,"
Eibuy Store
",PROMO Samsung Galaxy Note 9 RAM 6 GB ROM 128 GB SEIN - Midnight Black - Hitam,0
2350,Makassar,16.950.000,0,"
Eibuy Store
",Samsung Galaxy Note 10 Plus 512 GB ROM 12GB RAM Garansi SEIN 1 Tahun,0
2351,Jakarta Barat,1.999.000,0,"
R.S Shop
",Realme 3 Ram 3 GB Rom 32 GB Blue Blackj,0
2352,Jakarta Barat,2.999.000,0,"
R.S Shop
",Oppo A5 2020 Ram 4GB Rom 128 GB Garansi Resmi  Oppo 1 Tahun,0
2353,Jakarta Barat,1.999.000,5.0,"
R.S Shop
",promo OPPO A5S RAM 3 GB INTERNAL MEMORY 32 GB BLACK RED,30
2354,Jakarta Selatan,2.700.000,0,"
Ferdi Bl7272
",Oppo A5 2020 4-128,0
2355,Jakarta Barat,3.999.000,0,"
R.S Shop
",Oppo A9 2020 Ram 8 GB Rom 128 GB Garansi Resmi  Oppo 1 Tahun,0
2356,Jakarta Timur,1.924.000,4.7,"
Queen shop
",OPPO A5s RAM 3 32GB RESMI,65
2357,Probolinggo,649.000,5.0,"
ASIAN accesories
",POLYTRON R2509 SE Rocket T6 RAM 1GB Internal 16GB,5
2358,Jakarta Barat,760.000,4.9,"
LIM STORE
",SONY X Compact Docomo,36
2359,Jakarta Barat,780.000,4.5,"
LIM STORE
",SONY X Performance,37
2360,Jakarta Barat,830.000,4.9,"
LIM STORE
",SONY XPERIA Z5 PRESSURE UP NAIK MULUS,28
2361,Jakarta Barat,760.000,4.6,"
LIM STORE
",SONY XPERIA Z5 mulus,131
2362,Jakarta Barat,950.000,4.1,"
LIM STORE
",SONY Z5 PREMIUM MULUS,26
2363,Jakarta Barat,890.000,4.6,"
LIM STORE
",SONY XPERIA XZ AU mulus,94
2364,Jakarta Barat,3.300.000,0,"
LIM STORE
",SAMSUNG S8 64GB,0
2365,Jakarta Barat,1.150.000,5.0,"
LIM STORE
",SONY XPERIA XZ MULUS FULLSET,3
2366,Jakarta Timur,1.854.000,5.0,"
Queen shop
",VIVO Y12 RAM 3 Garansi Resmi,1
2367,Jakarta Barat,3.500.000,5.0,"
LIM STORE
",SAMSUNG S8plus 64gb duos,1
2368,Jakarta Barat,685.000,4.2,"
LIM STORE
",Sharp Sh-04h mulus,16
2369,Probolinggo,1.239.000,4.7,"
ASIAN accesories
",POLYTRON P552 PRIME 7 PRO,33
2370,Jakarta Barat,890.000,4.9,"
LIM STORE
",SONY XPERIA XZ DOCOMO MULUS,18
2371,Jakarta Barat,700.000,5.0,"
LIM STORE
",SONY XPERIA Z5 Minus,1
2372,Jakarta Timur,2.834.000,0,"
Queen shop
",OPPO A5 2020 RAM 4 128GB,0
2373,Jakarta Barat,780.000,4.5,"
LIM STORE
",Sharp SH-04h MULUS LIKE NEW,2
2374,Jakarta Barat,730.000,5.0,"
LIM STORE
",SHARP SH04H MULUS,1
2375,Jakarta Barat,1.300.000,0,"
LIM STORE
",SONY XPERIA XZS AU MULUS,0
2376,Jakarta Barat,1.200.000,0,"
LIM STORE
",SONY XPERIA XZS AU MINUS,0
2377,Surabaya,2.175.000,0,"
Mobile Shop
",HP Realme 3 Ram 4 Rom 64 Garansi Resmi NEW,0
2378,Jakarta Barat,890.000,0,"
LIM STORE
",SONY XPERIA XZ MINUS,0
2379,Surabaya,2.575.000,5.0,"
Mobile Shop
",HP Redmi Note 7 Ram 4 Rom 64 tAm NEW,4
2380,Surabaya,2.999.000,5.0,"
Mobile Shop
",HP Redmi Note 7 Ram 4 Rom 128 tAm NEW,1
